Greek mythology;Roman mythology;The New Testament;The Old Testament;Saints;Historical figures;Occupation;Occupation + Nationality;Nationality;Women of different countries;Personification;Animals;Other
Mestra;;;sons of Phorcus;;Hendrick van der Borcht the Younger;ministers;;;;;;
Minos;;;widow from Zarephath;;Hendrik van der Borcht the Elder;money changers;;;;;;
Minotaur;;;widow's son;;Henri II d'Orléans-Longueville;monk;;;;;;
Mopsus;;;;;Henri II de Lorraine, Duke of Guise;mop seller;;;;;;
Morpheus;;;;;Henri IV;mourners;;;;;;
Musica;;;;;Henrietta Maria;muleteer;;;;;;
Narcissus;;;;;Henry Fox;musician;;;;;;
Nemean lion;;;;;Henry Frederick, Prince of Wales;notary;;;;;;
Neoptolemus;;;;;Henry I;nurse;;;;;;
Nessus;;;;;Henry II;officer;;;;;;
Nestor;;;;;Henry III;official;;;;;;
Nile;;;;;Henry IV;onion seller;;;;;;
Ninus of Niniveh;;;;;Henry Stuart, Lord Darnley;oracle;;;;;;
Niobe;;;;;Henry V;organist;;;;;;
Niobids;;;;;Henry VI;oyster seller;;;;;;
Oceanus;;;;;Henry VII;page;;;;;;
Odysseus;;;;;Henry VIII;painter;;;;;;
Odysseus' crew;;;;;Henry the 2d surnamed Shortmantle King of England;paper seller;;;;;;
Olympian gods;;;;;Henry the III King of England;pedlar;;;;;;
Omphale;;;;;Henry the VI;philosopher;;;;;;
Opinio;;;;;Hibbaeus Magnus;pikeman;;;;;;
Oreithyia;;;;;Hippocrates;pin seller;;;;;;
Orion;;;;;Holy Roman Emperor;pin-makers;;;;;;
Orithyia;;;;;Holy Roman Emperor Leopold I;piper;;;;;;
Orpheus;;;;;Holy Roman Empress, Anna of Tyrol;poet;;;;;;
Pallas;;;;;Horatius Cocles;porter;;;;;;
Pan;;;;;Hugh of Avranches;poulterer;;;;;;
Pandora;;;;;Hugo Grotius;preacher;;;;;;
Paris;;;;;Ian Schuners;priest;;;;;;
Pasiphaë;;;;;Ian Vereke;proconsul;;;;;;
Passerbyes;;;;;Innocent IX;procuress;;;;;;
Patroclus;;;;;Iohn Diodati;prostitutes;;;;;;
Peleus;;;;;Isabella d'Este;rabbit seller;;;;;;
Penelope;;;;;Isabella of Portugal;retinue;;;;;;
Peneus;;;;;Isabella, Archduchess of Austria;rope seller;;;;;;
Pentheus;;;;;Jacob Roelants;saddler;;;;;;
Perimele;;;;;Jacobus Laurentius;scholar-official;;;;;;
Perseus;;;;;Jacobus Maestertius;scholars;;;;;;
Phaethon;;;;;Jacobus Strada;scouts;;;;;;
Phaeton;;;;;Jacques;scribe;;;;;;
Phaeton's sisters;;;;;Jacques Barrelier;sculptor;;;;;;
Phineus;;;;;James I;secretary;;;;;;
Phoebus;;;;;James II;seller of fireplace tools;;;;;;
Phoenix;;;;;James III;seller of hot baked apples;;;;;;
Pierides;;;;;James Poro;seller of musical instruments;;;;;;
Pierus;;;;;James Stanier;seller of pastries;;;;;;
Polydorus;;;;;James V;seller of small household goods;;;;;;
Polyhymnia;;;;;James VI;seller of socks;;;;;;
Polymestor;;;;;Jan Pietersz Sweelinck;sellers;;;;;;
Polyphemus;;;;;Jan van Broeckhoven;senators;;;;;;
Polyxena;;;;;Jan van Malderus;servant;;;;;;
Poseidon;;;;;Jaques Joosten;shepherd;;;;;;
Priapus;;;;;Jean Baptiste Gault, Bishop of Marseille;shepherd Corydon;;;;;;
Procne;;;;;Jean Misaubin;shepherdess;;;;;;
Procris;;;;;Jean de Beck;sibyl;;;;;;
Prometheus;;;;;Jean-Baptist Houwaert;sinners;;;;;;
Psyche;;;;;Jean-Jacques Sault, bishop of Dax;slave;;;;;;
Ptolemy;;;;;Johann Friedrich, elector of Saxony;soldier;;;;;;
