link;named_entity1;named_entity2;named_entity3;named_entity4;named_entity5;named_entity6;named_entity7;named_entity8;named_entity9;named_entity10;named_entity11;named_entity12;named_entity13;named_entity14;named_entity15;named_entity16;named_entity17;named_entity18;named_entity19;named_entity20;named_entity21
https://www.britishmuseum.org/collection/object/P_U-4-86;Elijah;widow;son;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_F-1-48;Moses;woman;child;crowd;man;God;Israelites;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_X-2-33;St Jerome;lion;crucifix;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_F-1-22;Good Samaritan;victim;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_X-6-19;woman;Envy;War;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1972-U-5-9;man;woman;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1983-U-2381-22;Mary I;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_L-83-81;angel;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_W-9-126;St Christopher;Christ;St John the Baptist;Virgin;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-6-63;man;people;duck;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-6-160;Mater Dolorosa;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1952-0705-1-47;Cepheus;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_F-1-145;Christ;Virgin;shepherd;angel;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_O-2-93;Bernhard of Saxony-Weimar;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_L-83-101;woman;child;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-1-274;Virgin;Christ;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1948-0410-4-200;man;donkey;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-54;Joseph (Son of Jacob);fellow-convicts;man;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-4-211;Christ;apostle;Virgin;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1952-0705-1-54;Perseus;Medusa;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-57-6;Scalemaker;customer;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-20-15;female herm;figure;figure;owl;Sin;Grim Reaper;demon;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-5-78;horseman;man;woman;boy;man;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1954-0813-12-25;St Paul;Cripple;spectators;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1952-0705-1-17;youth;bacchante;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-71-33;Maurice, Prince of Orange;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-255;Christ;figure;child;people;family;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-356;St Paul;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1954-0813-12-29;Eutychus;St Paul;child;mother;baby;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-57-23;cloth shearer;man;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-5-54;siren;man;chimeric animals;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-311;Christ;man;man;woman;girl;figure;child;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_W-3-18;Penelope;woman;cat;woman;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_P-6-65;Leonard Plukenet;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_O-6-70;Carolus Clusius;caryatid;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-4-270;Christ;prophet;death;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-329;Christ;guard;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1983-U-2381-7;King John;;;;;;;;;;;;;;;;;;;;
